sentiment_label,sentence,source
negative,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,headline
neutral,Shell Opens Natural Gas Wells Off Irish Coast,headline
positive,"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",financialphrasebank
neutral,"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",financialphrasebank
neutral,"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland .",financialphrasebank
neutral,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",financialphrasebank
positive,Unilever head's resignation sparks spinoff talk,headline
neutral,The value of the deal has not been disclosed .,financialphrasebank
neutral,Shell eyes $700 million exit from Gabon - sources,headline
neutral,"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",financialphrasebank
negative,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",financialphrasebank
neutral,"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",financialphrasebank
positive,Sales in Finland rose by 3.9 % and international growth was 0.7 % .,financialphrasebank
neutral,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,financialphrasebank
positive,Associated British Foods helps FTSE to rebound,headline
positive,RPT-UK supermarkets braced for battle as Tesco comes out fighting,headline
neutral,"CompaniesandMarkets.com provides a wide range of research reports , industry statistics and competitive intelligence on the industrial sector .",financialphrasebank
positive,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,headline
neutral,The options might include a partial or total divestment of their shareholdings in Ovako .,financialphrasebank
neutral,Shire proposes $30 bln all-share tie-up with Baxalta,headline
