sentiment_label,sentence,source
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,financialphrasebank
neutral,The platform would continue to be the development framework for Symbian and MeeGo .,financialphrasebank
neutral,The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,financialphrasebank
neutral,Airbus will attempt to evacuate up to 873 people within 90 seconds .,financialphrasebank
negative,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",financialphrasebank
negative,Credit Suisse poaches Prudential's Thiam for Asian push,headline
neutral,"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",financialphrasebank
neutral,Berkshire seeks to boost its Wells Fargo stake above 10 percent,headline
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",financialphrasebank
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",financialphrasebank
neutral,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",financialphrasebank
positive,The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .,financialphrasebank
neutral,Exel is headquartered in Mantyharju in Finland .,financialphrasebank
neutral,The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,financialphrasebank
positive,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",financialphrasebank
neutral,Shell's job losses now equal Facebook's entire payroll,headline
neutral,"Maximum amount of terminations in Finland is 40 employees , the company added .",financialphrasebank
negative,CompaniesCentrica shares drop 7% amid capital raise,headline
neutral,Sainsbury sales slip again as price pressures take a toll,headline
positive,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",financialphrasebank
neutral,During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,financialphrasebank
positive,Shell to Go Ahead With Petrochemical Plant in Pennsylvania,headline
neutral,"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",financialphrasebank
positive,Talvivaara also maintains its assumption of turning cash flow positive before the year end .,financialphrasebank
neutral,Shire proposes $30 bln all-share tie-up with Baxalta,headline
neutral,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,financialphrasebank
negative,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,financialphrasebank
neutral,CompaniesRoyal Mail revenues drop despite boost in parcels,headline
positive,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,headline
negative,"`` We see that the market continues to be tight in magazine papers , and our target is to close the deals by the end of the year . ''",financialphrasebank
positive,"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",financialphrasebank
neutral,Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,financialphrasebank
positive,The main strength of the cooperation project lies in merging the know-how of two large companies .,financialphrasebank
positive,"In addition to the demand in Finland , the export of lining stone products also increased .",financialphrasebank
positive,"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",financialphrasebank
neutral,Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,financialphrasebank
neutral,The new units should become one of the largest ones within the company .,financialphrasebank
neutral,"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",financialphrasebank
negative,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",financialphrasebank
positive,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,financialphrasebank
positive,ARM swings to profit in fourth quarter,headline
positive,Synergy benefits will start to materialise in the second quarter .,financialphrasebank
neutral,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",financialphrasebank
positive,Glencore Agrees to Sell Minority Stake in Agriculture Business,headline
positive,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,financialphrasebank
negative,Diageo sales disappoint as currency and comparatives leave bitter taste,headline
neutral,Aviva Expects 1500 Jobs Cuts from Friends Life Deal,headline
neutral,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",financialphrasebank
negative,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",financialphrasebank
negative,Tesco's boardroom clearout continues,headline
negative,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,financialphrasebank
neutral,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",financialphrasebank
neutral,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,financialphrasebank
neutral,"It includes the company 's new , highly powerful , compact and scalable Flexi Multiradio 10 Base Station .",financialphrasebank
negative,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",financialphrasebank
positive,Passenger volumes rose by 8.4 % in the accounting period .,financialphrasebank
neutral,Legal & General eyes company deals as individual annuities wither,headline
neutral,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,financialphrasebank
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",financialphrasebank
positive,The aim is to increase sales by at least one fifth in 2006 .,financialphrasebank
positive,"European shares fall on Chinese import data, SABMiller soars",headline
neutral,Pohjola and cooperative banks have continued to combine their branch office network .,financialphrasebank
neutral,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,financialphrasebank
neutral,"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today .",financialphrasebank
neutral,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,financialphrasebank
positive,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,headline
neutral,Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,financialphrasebank
neutral,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,financialphrasebank
negative,"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",financialphrasebank
neutral,"Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .",financialphrasebank
